,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
3,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
4,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0
5,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0
6,4.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0
7,4.0,2.0,3.0,3.0,3.0,4.0,6.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0
8,5.0,3.0,3.0,3.0,3.0,4.0,7.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,6.0,2.0,2.0,2.0,3.0,5.0,3.0
9,6.0,4.0,3.0,4.0,4.0,5.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,6.0,4.0,4.0,4.0,6.0,3.0,2.0,3.0,4.0,5.0,3.0
10,6.0,4.0,3.0,4.0,5.0,5.0,7.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,6.0,4.0,4.0,5.0,7.0,3.0,2.0,3.0,4.0,5.0,3.0
11,7.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,6.0,5.0,4.0,5.0,8.0,4.0,2.0,3.0,5.0,5.0,3.0
12,8.0,5.0,4.0,5.0,5.0,6.0,8.0,5.0,6.0,5.0,3.0,3.0,5.0,4.0,7.0,5.0,5.0,6.0,8.0,4.0,3.0,4.0,5.0,6.0,3.0
13,9.0,5.0,5.0,6.0,5.0,6.0,8.0,5.0,6.0,6.0,4.0,3.0,5.0,4.0,8.0,6.0,5.0,7.0,9.0,4.0,4.0,4.0,5.0,6.0,4.0
14,9.0,5.0,5.0,7.0,5.0,7.0,8.0,5.0,6.0,6.0,4.0,3.0,6.0,4.0,8.0,7.0,6.0,7.0,10.0,4.0,4.0,4.0,6.0,6.0,4.0
15,10.0,6.0,6.0,7.0,6.0,7.0,9.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,8.0,8.0,6.0,8.0,10.0,4.0,5.0,4.0,6.0,6.0,5.0
16,10.0,6.0,6.0,7.0,6.0,7.0,9.0,7.0,7.0,6.0,4.0,4.0,7.0,5.0,9.0,8.0,6.0,8.0,10.0,4.0,5.0,4.0,6.0,6.0,5.0
17,10.0,7.0,6.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,4.0,4.0,7.0,5.0,9.0,9.0,7.0,9.0,11.0,5.0,6.0,4.0,7.0,7.0,5.0
18,11.0,7.0,7.0,8.0,7.0,8.0,10.0,8.0,7.0,7.0,4.0,4.0,7.0,5.0,9.0,9.0,7.0,10.0,11.0,5.0,6.0,4.0,7.0,7.0,5.0
19,12.0,7.0,8.0,9.0,7.0,9.0,11.0,8.0,7.0,7.0,5.0,5.0,8.0,6.0,10.0,9.0,7.0,11.0,12.0,5.0,6.0,4.0,7.0,7.0,5.0
20,12.0,7.0,8.0,9.0,8.0,9.0,12.0,8.0,8.0,8.0,5.0,5.0,8.0,6.0,10.0,10.0,8.0,11.0,13.0,6.0,6.0,4.0,8.0,7.0,6.0
21,12.0,7.0,8.0,9.0,8.0,10.0,12.0,8.0,9.0,8.0,6.0,5.0,9.0,6.0,11.0,10.0,9.0,11.0,13.0,6.0,6.0,4.0,8.0,7.0,6.0
22,12.0,7.0,9.0,9.0,9.0,11.0,12.0,8.0,9.0,9.0,6.0,6.0,9.0,6.0,11.0,10.0,9.0,12.0,14.0,6.0,6.0,5.0,9.0,7.0,6.0
23,13.0,8.0,9.0,10.0,9.0,11.0,13.0,9.0,9.0,10.0,6.0,6.0,9.0,6.0,11.0,11.0,10.0,12.0,14.0,7.0,6.0,5.0,10.0,8.0,6.0
24,13.0,8.0,9.0,10.0,9.0,12.0,13.0,9.0,10.0,10.0,7.0,6.0,9.0,6.0,12.0,11.0,11.0,12.0,15.0,7.0,6.0,5.0,10.0,8.0,6.0
25,14.0,8.0,10.0,11.0,10.0,12.0,14.0,10.0,11.0,11.0,7.0,6.0,9.0,7.0,12.0,11.0,11.0,13.0,16.0,7.0,6.0,5.0,10.0,8.0,6.0
26,14.0,9.0,10.0,12.0,10.0,12.0,15.0,10.0,12.0,11.0,8.0,6.0,10.0,7.0,13.0,11.0,12.0,13.0,16.0,8.0,7.0,5.0,11.0,9.0,6.0
27,15.0,9.0,11.0,12.0,11.0,13.0,16.0,10.0,12.0,11.0,8.0,7.0,10.0,7.0,13.0,12.0,12.0,14.0,16.0,9.0,7.0,5.0,11.0,9.0,6.0
28,16.0,10.0,11.0,12.0,11.0,14.0,16.0,10.0,12.0,11.0,8.0,7.0,10.0,7.0,14.0,12.0,12.0,15.0,17.0,9.0,7.0,5.0,11.0,9.0,7.0
29,16.0,10.0,11.0,13.0,12.0,14.0,16.0,10.0,13.0,11.0,8.0,7.0,10.0,8.0,14.0,12.0,13.0,16.0,18.0,9.0,8.0,5.0,11.0,10.0,7.0
30,16.0,11.0,12.0,14.0,12.0,14.0,17.0,11.0,13.0,11.0,9.0,7.0,10.0,8.0,14.0,13.0,13.0,17.0,18.0,9.0,8.0,5.0,12.0,10.0,7.0
31,16.0,11.0,13.0,14.0,12.0,14.0,18.0,11.0,13.0,11.0,9.0,8.0,10.0,8.0,15.0,13.0,14.0,18.0,18.0,10.0,9.0,5.0,13.0,10.0,7.0
32,17.0,12.0,13.0,14.0,12.0,14.0,18.0,11.0,13.0,12.0,10.0,8.0,11.0,8.0,15.0,14.0,14.0,18.0,18.0,10.0,9.0,5.0,13.0,10.0,8.0
33,17.0,12.0,14.0,15.0,12.0,15.0,19.0,12.0,13.0,13.0,10.0,8.0,11.0,9.0,16.0,14.0,14.0,18.0,19.0,10.0,9.0,6.0,13.0,10.0,8.0
34,17.0,12.0,14.0,16.0,12.0,15.0,19.0,12.0,13.0,13.0,10.0,8.0,11.0,9.0,16.0,14.0,15.0,19.0,19.0,10.0,10.0,6.0,14.0,10.0,9.0
35,18.0,12.0,15.0,16.0,13.0,15.0,19.0,12.0,14.0,13.0,10.0,8.0,11.0,9.0,17.0,15.0,15.0,20.0,19.0,10.0,10.0,7.0,14.0,10.0,10.0
36,18.0,12.0,15.0,17.0,13.0,16.0,20.0,12.0,14.0,13.0,11.0,8.0,11.0,10.0,18.0,15.0,16.0,20.0,19.0,11.0,10.0,8.0,15.0,11.0,10.0
37,19.0,12.0,16.0,17.0,14.0,17.0,20.0,13.0,15.0,14.0,11.0,8.0,12.0,11.0,18.0,16.0,16.0,21.0,20.0,11.0,11.0,8.0,16.0,11.0,10.0
38,19.0,12.0,16.0,17.0,14.0,17.0,20.0,13.0,16.0,15.0,11.0,8.0,12.0,11.0,18.0,17.0,16.0,21.0,20.0,11.0,11.0,9.0,16.0,11.0,10.0
39,20.0,13.0,16.0,18.0,14.0,17.0,20.0,13.0,16.0,16.0,11.0,8.0,12.0,11.0,19.0,17.0,17.0,22.0,21.0,12.0,11.0,9.0,16.0,11.0,11.0
40,20.0,13.0,17.0,18.0,15.0,18.0,21.0,13.0,17.0,16.0,12.0,9.0,12.0,11.0,19.0,18.0,18.0,22.0,22.0,12.0,11.0,10.0,17.0,12.0,11.0
41,20.0,14.0,17.0,18.0,15.0,18.0,21.0,14.0,17.0,16.0,12.0,9.0,12.0,11.0,20.0,18.0,19.0,23.0,23.0,13.0,12.0,10.0,17.0,13.0,11.0
42,21.0,15.0,17.0,19.0,15.0,18.0,21.0,14.0,17.0,17.0,13.0,9.0,12.0,11.0,20.0,19.0,19.0,23.0,23.0,14.0,12.0,10.0,18.0,13.0,11.0
43,22.0,15.0,17.0,19.0,15.0,19.0,22.0,14.0,18.0,17.0,13.0,9.0,13.0,12.0,20.0,20.0,20.0,24.0,23.0,15.0,13.0,11.0,18.0,13.0,11.0
44,22.0,15.0,18.0,20.0,15.0,19.0,23.0,15.0,19.0,18.0,13.0,9.0,13.0,12.0,21.0,20.0,20.0,24.0,23.0,15.0,13.0,11.0,19.0,14.0,12.0
45,22.0,15.0,19.0,20.0,16.0,19.0,24.0,15.0,19.0,19.0,14.0,9.0,13.0,12.0,21.0,20.0,21.0,24.0,23.0,15.0,13.0,12.0,19.0,15.0,12.0
46,22.0,15.0,20.0,21.0,16.0,20.0,24.0,16.0,19.0,20.0,14.0,9.0,13.0,12.0,22.0,21.0,21.0,25.0,23.0,15.0,13.0,12.0,20.0,15.0,12.0
47,22.0,15.0,20.0,21.0,16.0,20.0,25.0,16.0,19.0,20.0,14.0,9.0,13.0,13.0,22.0,21.0,21.0,25.0,24.0,15.0,14.0,13.0,21.0,15.0,12.0
48,23.0,15.0,20.0,21.0,17.0,21.0,26.0,16.0,20.0,20.0,14.0,9.0,13.0,13.0,22.0,22.0,21.0,26.0,24.0,15.0,14.0,13.0,22.0,15.0,13.0
49,24.0,16.0,21.0,21.0,18.0,21.0,26.0,16.0,20.0,20.0,14.0,9.0,13.0,14.0,23.0,22.0,22.0,27.0,24.0,15.0,14.0,13.0,23.0,15.0,14.0
50,24.0,16.0,21.0,22.0,19.0,22.0,27.0,16.0,20.0,20.0,14.0,10.0,13.0,14.0,24.0,22.0,22.0,28.0,24.0,16.0,14.0,13.0,23.0,15.0,14.0
51,24.0,16.0,21.0,22.0,19.0,22.0,27.0,16.0,21.0,20.0,15.0,10.0,14.0,14.0,25.0,22.0,22.0,28.0,24.0,16.0,14.0,13.0,23.0,16.0,14.0
52,25.0,16.0,22.0,23.0,19.0,22.0,28.0,16.0,22.0,21.0,15.0,10.0,14.0,14.0,25.0,23.0,23.0,29.0,25.0,16.0,15.0,14.0,23.0,17.0,15.0
53,26.0,16.0,23.0,23.0,19.0,22.0,29.0,17.0,22.0,21.0,15.0,11.0,14.0,14.0,25.0,23.0,24.0,29.0,26.0,16.0,15.0,14.0,24.0,17.0,15.0
54,26.0,17.0,23.0,23.0,19.0,23.0,29.0,17.0,23.0,22.0,16.0,12.0,14.0,15.0,25.0,24.0,24.0,30.0,27.0,17.0,16.0,14.0,24.0,17.0,15.0
55,26.0,17.0,24.0,24.0,20.0,23.0,29.0,17.0,24.0,22.0,16.0,12.0,15.0,15.0,26.0,25.0,25.0,30.0,28.0,17.0,16.0,15.0,25.0,17.0,16.0
56,27.0,17.0,24.0,24.0,21.0,24.0,30.0,17.0,24.0,22.0,16.0,12.0,16.0,15.0,27.0,26.0,26.0,31.0,28.0,18.0,16.0,15.0,26.0,17.0,16.0
57,28.0,18.0,24.0,24.0,22.0,24.0,30.0,17.0,25.0,23.0,16.0,13.0,16.0,16.0,28.0,26.0,26.0,31.0,29.0,18.0,16.0,15.0,27.0,18.0,16.0
58,28.0,18.0,25.0,24.0,23.0,24.0,31.0,17.0,26.0,23.0,17.0,13.0,16.0,16.0,29.0,27.0,26.0,32.0,29.0,18.0,16.0,16.0,27.0,18.0,17.0
59,29.0,19.0,25.0,24.0,24.0,24.0,31.0,17.0,26.0,24.0,17.0,13.0,17.0,17.0,29.0,27.0,26.0,32.0,29.0,18.0,16.0,16.0,28.0,18.0,17.0
60,29.0,19.0,25.0,25.0,24.0,25.0,31.0,18.0,26.0,24.0,17.0,14.0,17.0,17.0,30.0,28.0,27.0,33.0,30.0,18.0,16.0,16.0,29.0,18.0,18.0
61,29.0,19.0,25.0,25.0,24.0,25.0,32.0,18.0,27.0,25.0,18.0,14.0,17.0,17.0,31.0,28.0,27.0,34.0,31.0,19.0,17.0,16.0,29.0,18.0,18.0
