,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
3,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
4,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
6,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0
7,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0
8,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0
9,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,6.0,6.0
10,3.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,6.0,6.0
11,4.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,7.0,7.0
12,5.0,6.0,6.0,5.0,4.0,6.0,6.0,7.0,7.0,5.0,7.0,6.0,5.0,6.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,7.0,4.0,7.0,7.0
13,6.0,6.0,7.0,6.0,4.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,8.0,5.0,7.0,8.0
14,6.0,6.0,8.0,6.0,5.0,8.0,7.0,8.0,7.0,6.0,8.0,8.0,6.0,7.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0,8.0,5.0,8.0,8.0
15,6.0,6.0,8.0,6.0,5.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,8.0,6.0,8.0,8.0
16,7.0,7.0,8.0,7.0,6.0,8.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,8.0,6.0,5.0,7.0,5.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0
17,8.0,8.0,8.0,7.0,6.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,5.0,7.0,6.0,7.0,7.0,7.0,9.0,6.0,9.0,9.0
18,8.0,8.0,8.0,7.0,7.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,6.0,8.0,6.0,7.0,8.0,8.0,9.0,7.0,9.0,9.0
19,8.0,8.0,9.0,8.0,7.0,9.0,10.0,13.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,10.0,8.0,10.0,10.0
20,9.0,8.0,9.0,8.0,8.0,10.0,11.0,14.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,6.0,9.0,7.0,9.0,8.0,8.0,11.0,9.0,10.0,11.0
21,10.0,8.0,9.0,8.0,8.0,10.0,11.0,14.0,11.0,9.0,11.0,11.0,9.0,10.0,9.0,7.0,10.0,7.0,9.0,9.0,9.0,11.0,9.0,10.0,12.0
22,10.0,9.0,9.0,8.0,8.0,10.0,11.0,14.0,11.0,10.0,11.0,11.0,9.0,11.0,9.0,7.0,11.0,7.0,9.0,10.0,9.0,12.0,9.0,11.0,12.0
23,11.0,9.0,10.0,9.0,9.0,10.0,11.0,14.0,11.0,10.0,11.0,12.0,9.0,11.0,10.0,7.0,12.0,7.0,10.0,10.0,9.0,12.0,10.0,11.0,13.0
24,11.0,10.0,11.0,9.0,9.0,11.0,12.0,14.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,7.0,13.0,8.0,11.0,11.0,9.0,12.0,10.0,12.0,13.0
25,11.0,11.0,11.0,10.0,10.0,11.0,12.0,14.0,13.0,11.0,11.0,12.0,10.0,11.0,11.0,7.0,13.0,8.0,11.0,11.0,10.0,12.0,11.0,12.0,14.0
26,12.0,11.0,11.0,11.0,11.0,11.0,13.0,15.0,13.0,12.0,12.0,13.0,11.0,11.0,11.0,7.0,13.0,8.0,12.0,12.0,10.0,13.0,12.0,13.0,15.0
27,12.0,12.0,11.0,11.0,12.0,12.0,13.0,15.0,13.0,13.0,12.0,13.0,11.0,12.0,11.0,8.0,13.0,8.0,13.0,12.0,10.0,14.0,13.0,14.0,15.0
28,13.0,12.0,12.0,11.0,12.0,12.0,13.0,16.0,14.0,14.0,13.0,14.0,12.0,12.0,11.0,8.0,14.0,9.0,13.0,12.0,11.0,14.0,13.0,14.0,16.0
29,13.0,13.0,12.0,12.0,13.0,12.0,14.0,17.0,14.0,15.0,13.0,15.0,12.0,12.0,11.0,9.0,14.0,9.0,13.0,13.0,11.0,15.0,14.0,14.0,16.0
30,13.0,13.0,13.0,12.0,14.0,13.0,14.0,18.0,15.0,15.0,13.0,15.0,12.0,12.0,12.0,9.0,15.0,9.0,13.0,13.0,12.0,16.0,14.0,14.0,17.0
31,14.0,14.0,13.0,13.0,14.0,13.0,15.0,18.0,15.0,15.0,13.0,16.0,12.0,13.0,13.0,9.0,15.0,10.0,14.0,13.0,12.0,16.0,15.0,14.0,17.0
32,14.0,15.0,14.0,13.0,14.0,13.0,15.0,19.0,15.0,16.0,14.0,16.0,13.0,13.0,13.0,10.0,16.0,10.0,14.0,14.0,12.0,16.0,15.0,15.0,18.0
33,15.0,16.0,15.0,14.0,15.0,14.0,15.0,20.0,16.0,16.0,14.0,17.0,13.0,14.0,13.0,10.0,16.0,11.0,14.0,14.0,13.0,17.0,15.0,15.0,18.0
34,15.0,17.0,15.0,14.0,15.0,14.0,15.0,20.0,16.0,17.0,15.0,18.0,14.0,14.0,13.0,11.0,16.0,11.0,14.0,14.0,13.0,17.0,16.0,15.0,18.0
35,16.0,17.0,15.0,15.0,15.0,15.0,16.0,21.0,16.0,17.0,15.0,18.0,15.0,14.0,13.0,11.0,16.0,11.0,14.0,14.0,13.0,17.0,17.0,16.0,18.0
36,16.0,18.0,16.0,15.0,15.0,15.0,16.0,21.0,17.0,18.0,15.0,18.0,15.0,14.0,14.0,11.0,17.0,12.0,14.0,15.0,13.0,18.0,17.0,16.0,18.0
37,16.0,18.0,16.0,15.0,15.0,15.0,16.0,21.0,17.0,18.0,16.0,19.0,15.0,14.0,14.0,12.0,17.0,12.0,15.0,15.0,14.0,19.0,17.0,17.0,19.0
38,17.0,18.0,17.0,15.0,16.0,15.0,17.0,22.0,17.0,18.0,17.0,19.0,15.0,15.0,14.0,13.0,17.0,13.0,16.0,16.0,15.0,19.0,18.0,18.0,20.0
39,17.0,19.0,18.0,15.0,16.0,15.0,17.0,22.0,18.0,19.0,17.0,20.0,15.0,15.0,15.0,14.0,18.0,13.0,17.0,16.0,15.0,20.0,18.0,18.0,20.0
40,17.0,20.0,18.0,16.0,16.0,16.0,18.0,23.0,18.0,19.0,17.0,20.0,15.0,16.0,15.0,14.0,18.0,13.0,17.0,16.0,16.0,20.0,19.0,18.0,20.0
41,18.0,20.0,19.0,17.0,17.0,16.0,19.0,24.0,18.0,19.0,17.0,20.0,16.0,16.0,16.0,14.0,18.0,14.0,17.0,17.0,16.0,21.0,19.0,18.0,21.0
42,18.0,21.0,19.0,17.0,17.0,17.0,19.0,24.0,18.0,20.0,18.0,20.0,16.0,17.0,16.0,14.0,18.0,14.0,18.0,17.0,17.0,22.0,19.0,18.0,22.0
43,18.0,21.0,20.0,17.0,18.0,17.0,19.0,24.0,19.0,20.0,18.0,21.0,17.0,17.0,17.0,15.0,19.0,14.0,18.0,17.0,17.0,22.0,20.0,18.0,23.0
44,19.0,22.0,20.0,18.0,18.0,17.0,20.0,25.0,19.0,20.0,19.0,21.0,18.0,18.0,17.0,16.0,19.0,15.0,18.0,17.0,18.0,22.0,20.0,19.0,24.0
45,19.0,22.0,20.0,18.0,19.0,18.0,21.0,25.0,20.0,20.0,20.0,21.0,19.0,18.0,17.0,16.0,20.0,15.0,19.0,18.0,18.0,23.0,21.0,20.0,25.0
46,19.0,22.0,20.0,18.0,20.0,18.0,21.0,25.0,21.0,21.0,20.0,22.0,19.0,18.0,17.0,16.0,20.0,15.0,19.0,19.0,19.0,23.0,21.0,20.0,25.0
47,20.0,22.0,21.0,19.0,20.0,18.0,21.0,26.0,21.0,21.0,20.0,22.0,19.0,19.0,18.0,16.0,21.0,15.0,20.0,20.0,20.0,23.0,22.0,20.0,25.0
48,20.0,23.0,22.0,19.0,20.0,19.0,21.0,26.0,21.0,21.0,21.0,23.0,20.0,20.0,19.0,16.0,21.0,16.0,20.0,20.0,21.0,23.0,22.0,20.0,26.0
49,20.0,24.0,23.0,19.0,21.0,19.0,21.0,26.0,22.0,22.0,22.0,23.0,20.0,20.0,19.0,16.0,22.0,16.0,21.0,21.0,22.0,23.0,23.0,21.0,26.0
50,20.0,25.0,23.0,19.0,21.0,19.0,22.0,27.0,22.0,22.0,22.0,24.0,21.0,21.0,19.0,17.0,22.0,16.0,21.0,21.0,23.0,24.0,23.0,21.0,27.0
51,21.0,26.0,23.0,20.0,21.0,20.0,22.0,27.0,23.0,22.0,22.0,24.0,22.0,21.0,20.0,18.0,22.0,17.0,21.0,22.0,23.0,25.0,23.0,21.0,27.0
52,21.0,26.0,23.0,21.0,21.0,20.0,22.0,28.0,23.0,22.0,23.0,25.0,22.0,21.0,20.0,19.0,23.0,17.0,21.0,22.0,23.0,25.0,23.0,21.0,28.0
53,21.0,26.0,24.0,21.0,22.0,20.0,23.0,28.0,24.0,23.0,24.0,25.0,22.0,22.0,20.0,19.0,23.0,17.0,21.0,23.0,24.0,26.0,24.0,22.0,28.0
54,22.0,26.0,25.0,21.0,22.0,21.0,23.0,28.0,24.0,23.0,25.0,26.0,22.0,22.0,21.0,19.0,24.0,18.0,22.0,23.0,24.0,26.0,24.0,22.0,29.0
55,22.0,26.0,25.0,21.0,22.0,21.0,23.0,29.0,24.0,23.0,25.0,27.0,22.0,22.0,22.0,19.0,25.0,18.0,23.0,24.0,25.0,26.0,25.0,22.0,29.0
56,23.0,27.0,25.0,22.0,23.0,21.0,23.0,30.0,24.0,23.0,26.0,27.0,23.0,23.0,22.0,19.0,25.0,18.0,23.0,24.0,25.0,26.0,25.0,23.0,29.0
57,23.0,27.0,26.0,22.0,23.0,22.0,24.0,30.0,25.0,24.0,26.0,27.0,23.0,23.0,22.0,20.0,25.0,18.0,23.0,25.0,26.0,27.0,25.0,23.0,29.0
58,23.0,27.0,26.0,22.0,24.0,22.0,25.0,31.0,25.0,25.0,27.0,28.0,24.0,23.0,23.0,20.0,26.0,19.0,23.0,25.0,26.0,27.0,25.0,23.0,30.0
59,23.0,27.0,26.0,23.0,25.0,23.0,25.0,31.0,25.0,25.0,27.0,28.0,24.0,24.0,24.0,20.0,26.0,20.0,24.0,26.0,27.0,28.0,25.0,23.0,30.0
60,23.0,28.0,26.0,23.0,25.0,24.0,25.0,31.0,25.0,25.0,28.0,28.0,24.0,24.0,24.0,20.0,26.0,20.0,24.0,27.0,27.0,28.0,26.0,23.0,30.0
61,24.0,29.0,27.0,24.0,25.0,24.0,25.0,31.0,26.0,26.0,28.0,28.0,25.0,25.0,25.0,21.0,27.0,20.0,25.0,27.0,28.0,28.0,26.0,24.0,31.0
