,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
3,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
4,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
5,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0
6,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0
7,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0
8,4.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,2.0,3.0,3.0,4.0,5.0,4.0
9,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0,3.0,4.0,4.0,5.0,4.0
10,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,5.0
11,5.0,3.0,5.0,3.0,3.0,5.0,6.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,5.0,4.0,4.0,6.0,5.0
12,5.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0
13,6.0,4.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,5.0,4.0,6.0,5.0
14,6.0,4.0,5.0,4.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,4.0,6.0,5.0,5.0,7.0,5.0
15,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,9.0,5.0,6.0,5.0,5.0,7.0,5.0
16,6.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,9.0,6.0,6.0,5.0,6.0,7.0,5.0
17,6.0,6.0,6.0,5.0,5.0,6.0,8.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,9.0,6.0,7.0,6.0,6.0,8.0,5.0
18,7.0,6.0,7.0,6.0,5.0,7.0,8.0,6.0,5.0,7.0,5.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,9.0,6.0,7.0,6.0,6.0,8.0,6.0
19,8.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,8.0,5.0,7.0,8.0,7.0,6.0,6.0,7.0,8.0,9.0,6.0,8.0,7.0,7.0,9.0,6.0
20,8.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,8.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,8.0,10.0,6.0,8.0,7.0,7.0,9.0,7.0
21,9.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,10.0,8.0
22,10.0,7.0,8.0,7.0,7.0,8.0,10.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,11.0,7.0,8.0,8.0,7.0,10.0,8.0
23,10.0,7.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,6.0,9.0,9.0,11.0,7.0,8.0,9.0,8.0,10.0,8.0
24,11.0,7.0,8.0,7.0,8.0,9.0,11.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,6.0,9.0,9.0,11.0,7.0,9.0,9.0,8.0,11.0,8.0
25,11.0,8.0,9.0,7.0,9.0,9.0,12.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,6.0,10.0,9.0,12.0,8.0,9.0,10.0,8.0,11.0,8.0
26,12.0,9.0,9.0,7.0,9.0,9.0,12.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,6.0,11.0,9.0,12.0,9.0,9.0,10.0,9.0,11.0,8.0
27,12.0,9.0,9.0,7.0,9.0,10.0,12.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,11.0,10.0,12.0,9.0,10.0,11.0,10.0,11.0,9.0
28,13.0,9.0,9.0,8.0,9.0,10.0,13.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,12.0,9.0,11.0,11.0,10.0,11.0,10.0
29,13.0,9.0,10.0,9.0,10.0,10.0,13.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,11.0,12.0,12.0,9.0,11.0,12.0,10.0,12.0,10.0
30,13.0,10.0,10.0,9.0,10.0,11.0,13.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,8.0,11.0,12.0,13.0,9.0,11.0,12.0,11.0,12.0,10.0
31,13.0,10.0,11.0,10.0,10.0,12.0,14.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,8.0,12.0,12.0,13.0,9.0,11.0,12.0,11.0,12.0,11.0
32,14.0,10.0,11.0,10.0,10.0,12.0,14.0,10.0,11.0,11.0,11.0,12.0,11.0,10.0,11.0,8.0,12.0,13.0,13.0,9.0,11.0,12.0,11.0,12.0,11.0
33,14.0,10.0,11.0,11.0,11.0,12.0,15.0,10.0,12.0,11.0,11.0,12.0,11.0,11.0,12.0,8.0,13.0,13.0,13.0,9.0,11.0,13.0,12.0,13.0,12.0
34,14.0,11.0,12.0,11.0,11.0,12.0,15.0,10.0,13.0,11.0,11.0,12.0,11.0,11.0,13.0,9.0,13.0,13.0,14.0,10.0,12.0,13.0,12.0,13.0,12.0
35,14.0,11.0,12.0,11.0,11.0,12.0,15.0,10.0,13.0,12.0,12.0,13.0,11.0,12.0,14.0,10.0,13.0,13.0,14.0,10.0,12.0,13.0,12.0,14.0,13.0
36,14.0,12.0,12.0,11.0,12.0,13.0,16.0,11.0,14.0,12.0,12.0,14.0,11.0,12.0,14.0,10.0,13.0,14.0,14.0,11.0,12.0,13.0,12.0,15.0,13.0
37,15.0,12.0,12.0,11.0,13.0,13.0,16.0,11.0,15.0,12.0,12.0,14.0,11.0,13.0,14.0,11.0,14.0,15.0,14.0,11.0,13.0,14.0,12.0,15.0,13.0
38,15.0,12.0,12.0,12.0,13.0,14.0,16.0,12.0,15.0,12.0,13.0,15.0,12.0,14.0,14.0,11.0,14.0,15.0,15.0,11.0,14.0,14.0,13.0,15.0,13.0
39,15.0,12.0,12.0,12.0,14.0,14.0,16.0,12.0,15.0,12.0,14.0,16.0,12.0,14.0,14.0,11.0,14.0,15.0,15.0,11.0,15.0,15.0,14.0,16.0,14.0
40,16.0,12.0,13.0,13.0,14.0,14.0,17.0,12.0,15.0,13.0,14.0,16.0,12.0,14.0,15.0,12.0,15.0,15.0,15.0,11.0,15.0,15.0,14.0,17.0,14.0
41,16.0,13.0,13.0,13.0,15.0,14.0,18.0,12.0,16.0,13.0,14.0,17.0,12.0,15.0,15.0,12.0,15.0,16.0,15.0,12.0,15.0,16.0,14.0,17.0,14.0
42,17.0,13.0,13.0,13.0,15.0,14.0,18.0,12.0,16.0,13.0,14.0,17.0,12.0,15.0,15.0,12.0,15.0,17.0,15.0,12.0,16.0,16.0,15.0,17.0,15.0
43,17.0,14.0,13.0,13.0,16.0,14.0,19.0,13.0,16.0,13.0,15.0,18.0,12.0,15.0,15.0,12.0,15.0,17.0,16.0,12.0,16.0,17.0,15.0,18.0,15.0
44,17.0,14.0,14.0,14.0,16.0,14.0,20.0,13.0,16.0,13.0,15.0,18.0,13.0,15.0,15.0,12.0,16.0,17.0,16.0,12.0,16.0,17.0,15.0,18.0,15.0
45,18.0,15.0,14.0,14.0,16.0,14.0,20.0,14.0,16.0,14.0,16.0,19.0,13.0,16.0,15.0,13.0,16.0,17.0,17.0,12.0,16.0,17.0,16.0,18.0,15.0
46,18.0,16.0,14.0,15.0,16.0,15.0,21.0,15.0,17.0,14.0,16.0,19.0,13.0,16.0,15.0,13.0,16.0,17.0,17.0,13.0,17.0,18.0,16.0,19.0,15.0
47,18.0,17.0,14.0,15.0,16.0,15.0,21.0,15.0,17.0,15.0,16.0,19.0,13.0,16.0,15.0,13.0,16.0,17.0,17.0,13.0,17.0,18.0,16.0,20.0,16.0
48,18.0,17.0,15.0,15.0,16.0,15.0,22.0,15.0,18.0,15.0,16.0,19.0,14.0,17.0,15.0,13.0,17.0,17.0,17.0,13.0,17.0,19.0,17.0,20.0,16.0
49,19.0,17.0,15.0,16.0,17.0,16.0,22.0,15.0,19.0,15.0,16.0,20.0,14.0,17.0,16.0,13.0,18.0,18.0,17.0,14.0,17.0,19.0,17.0,20.0,17.0
50,19.0,17.0,16.0,16.0,17.0,16.0,22.0,15.0,19.0,15.0,16.0,20.0,14.0,17.0,17.0,14.0,18.0,18.0,18.0,14.0,17.0,19.0,17.0,20.0,17.0
51,19.0,17.0,16.0,17.0,17.0,16.0,22.0,15.0,20.0,16.0,16.0,20.0,15.0,18.0,17.0,15.0,18.0,19.0,18.0,14.0,18.0,19.0,18.0,20.0,17.0
52,19.0,18.0,17.0,17.0,18.0,16.0,22.0,16.0,20.0,16.0,17.0,21.0,15.0,18.0,17.0,15.0,19.0,19.0,18.0,14.0,18.0,20.0,18.0,20.0,18.0
53,19.0,18.0,17.0,18.0,18.0,17.0,23.0,16.0,20.0,16.0,17.0,21.0,15.0,18.0,17.0,15.0,19.0,19.0,18.0,15.0,19.0,20.0,18.0,21.0,18.0
54,20.0,18.0,18.0,18.0,18.0,17.0,24.0,16.0,21.0,16.0,17.0,21.0,16.0,18.0,17.0,15.0,19.0,19.0,19.0,15.0,19.0,20.0,18.0,21.0,18.0
55,20.0,18.0,18.0,18.0,19.0,17.0,25.0,16.0,21.0,16.0,17.0,21.0,17.0,18.0,17.0,16.0,20.0,19.0,20.0,16.0,19.0,20.0,18.0,21.0,19.0
56,20.0,19.0,18.0,18.0,19.0,18.0,25.0,16.0,21.0,17.0,18.0,22.0,17.0,19.0,18.0,16.0,20.0,19.0,20.0,16.0,19.0,21.0,19.0,22.0,19.0
57,21.0,19.0,19.0,18.0,19.0,18.0,25.0,17.0,21.0,17.0,18.0,22.0,18.0,19.0,18.0,16.0,20.0,20.0,21.0,16.0,20.0,21.0,19.0,23.0,19.0
58,21.0,19.0,20.0,19.0,19.0,18.0,26.0,17.0,21.0,18.0,18.0,22.0,18.0,19.0,18.0,16.0,20.0,20.0,21.0,16.0,20.0,21.0,19.0,23.0,19.0
59,21.0,20.0,20.0,20.0,20.0,18.0,26.0,17.0,21.0,18.0,19.0,22.0,18.0,19.0,18.0,17.0,20.0,20.0,21.0,17.0,20.0,21.0,20.0,24.0,19.0
60,21.0,20.0,21.0,20.0,20.0,18.0,27.0,18.0,21.0,18.0,19.0,22.0,18.0,20.0,18.0,17.0,21.0,21.0,22.0,18.0,21.0,21.0,20.0,24.0,20.0
61,22.0,21.0,21.0,20.0,20.0,18.0,27.0,19.0,22.0,18.0,19.0,23.0,19.0,20.0,18.0,18.0,21.0,21.0,23.0,18.0,21.0,22.0,20.0,25.0,20.0
