,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0
5,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0
6,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0
7,6.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0
8,7.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0
9,8.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0
10,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0
11,9.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0
12,10.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0
13,10.0,11.0,11.0,11.0,13.0,11.0,11.0,10.0,11.0
14,11.0,12.0,12.0,11.0,14.0,12.0,12.0,10.0,12.0
15,12.0,13.0,13.0,12.0,15.0,13.0,13.0,11.0,13.0
16,13.0,14.0,14.0,12.0,15.0,14.0,13.0,12.0,13.0
17,14.0,14.0,15.0,13.0,16.0,15.0,14.0,13.0,14.0
18,14.0,15.0,16.0,13.0,16.0,16.0,15.0,13.0,15.0
19,15.0,16.0,17.0,14.0,16.0,17.0,16.0,14.0,16.0
20,15.0,16.0,17.0,15.0,17.0,18.0,16.0,14.0,17.0
21,16.0,17.0,18.0,15.0,18.0,18.0,17.0,15.0,18.0
22,16.0,18.0,19.0,16.0,18.0,19.0,18.0,15.0,18.0
23,17.0,19.0,20.0,16.0,18.0,20.0,19.0,16.0,19.0
24,18.0,20.0,21.0,17.0,19.0,21.0,19.0,17.0,19.0
25,19.0,21.0,21.0,17.0,20.0,22.0,20.0,17.0,20.0
26,19.0,22.0,22.0,18.0,21.0,23.0,21.0,18.0,21.0
27,20.0,22.0,22.0,18.0,21.0,24.0,22.0,19.0,22.0
28,21.0,23.0,23.0,19.0,22.0,25.0,22.0,19.0,22.0
29,22.0,24.0,24.0,20.0,23.0,26.0,23.0,20.0,23.0
30,23.0,24.0,25.0,21.0,23.0,26.0,24.0,21.0,24.0
31,24.0,25.0,26.0,22.0,23.0,26.0,24.0,21.0,25.0
32,25.0,26.0,27.0,23.0,24.0,27.0,25.0,22.0,26.0
33,26.0,27.0,28.0,23.0,25.0,28.0,25.0,23.0,27.0
34,27.0,27.0,29.0,24.0,26.0,29.0,26.0,23.0,27.0
35,28.0,28.0,30.0,25.0,27.0,30.0,27.0,24.0,27.0
36,29.0,28.0,30.0,25.0,28.0,30.0,28.0,25.0,28.0
37,30.0,29.0,31.0,26.0,28.0,31.0,29.0,26.0,28.0
38,31.0,30.0,32.0,27.0,29.0,32.0,30.0,27.0,29.0
39,31.0,31.0,33.0,28.0,30.0,32.0,31.0,28.0,30.0
40,32.0,31.0,33.0,29.0,31.0,33.0,32.0,29.0,31.0
41,33.0,32.0,34.0,29.0,31.0,33.0,32.0,29.0,31.0
42,33.0,33.0,35.0,30.0,32.0,34.0,33.0,30.0,32.0
43,34.0,34.0,36.0,31.0,33.0,35.0,34.0,31.0,32.0
44,35.0,35.0,37.0,32.0,34.0,36.0,35.0,31.0,33.0
45,35.0,36.0,38.0,32.0,35.0,37.0,36.0,32.0,34.0
46,36.0,37.0,39.0,33.0,36.0,38.0,37.0,33.0,34.0
47,37.0,38.0,39.0,33.0,37.0,39.0,38.0,34.0,35.0
48,37.0,38.0,40.0,34.0,37.0,40.0,38.0,35.0,35.0
49,38.0,39.0,41.0,35.0,38.0,41.0,39.0,36.0,36.0
50,39.0,40.0,42.0,36.0,39.0,42.0,40.0,36.0,37.0
51,40.0,41.0,43.0,36.0,39.0,43.0,40.0,37.0,38.0
52,40.0,42.0,44.0,37.0,40.0,44.0,41.0,38.0,39.0
53,41.0,43.0,45.0,37.0,41.0,45.0,42.0,39.0,40.0
54,42.0,44.0,46.0,38.0,41.0,45.0,43.0,40.0,40.0
55,43.0,45.0,47.0,39.0,42.0,46.0,44.0,40.0,41.0
56,44.0,45.0,48.0,39.0,42.0,47.0,44.0,41.0,42.0
57,45.0,46.0,48.0,39.0,43.0,48.0,45.0,42.0,43.0
58,46.0,47.0,49.0,40.0,43.0,49.0,46.0,43.0,44.0
59,47.0,48.0,50.0,41.0,44.0,49.0,47.0,43.0,44.0
60,47.0,48.0,51.0,42.0,44.0,50.0,48.0,44.0,45.0
61,48.0,49.0,52.0,42.0,45.0,51.0,49.0,45.0,46.0
62,49.0,50.0,52.0,43.0,46.0,52.0,50.0,46.0,46.0
63,49.0,51.0,53.0,44.0,47.0,53.0,50.0,46.0,47.0
64,50.0,52.0,53.0,45.0,48.0,54.0,51.0,47.0,48.0
65,51.0,53.0,54.0,45.0,49.0,54.0,52.0,48.0,49.0
66,52.0,54.0,55.0,46.0,50.0,55.0,53.0,49.0,49.0
67,52.0,54.0,56.0,46.0,51.0,56.0,53.0,50.0,50.0
68,53.0,54.0,57.0,47.0,52.0,57.0,54.0,50.0,51.0
69,53.0,55.0,58.0,48.0,53.0,57.0,55.0,51.0,51.0
70,54.0,55.0,59.0,49.0,54.0,58.0,55.0,51.0,52.0
71,55.0,56.0,60.0,49.0,55.0,59.0,56.0,52.0,53.0
72,56.0,57.0,61.0,50.0,56.0,60.0,56.0,53.0,53.0
73,56.0,58.0,62.0,50.0,56.0,61.0,57.0,53.0,53.0
74,57.0,59.0,63.0,51.0,57.0,61.0,57.0,54.0,54.0
75,57.0,60.0,63.0,52.0,58.0,62.0,58.0,55.0,55.0
76,58.0,60.0,64.0,52.0,59.0,63.0,59.0,55.0,56.0
77,59.0,61.0,64.0,53.0,60.0,64.0,60.0,56.0,57.0
78,60.0,62.0,65.0,54.0,61.0,65.0,61.0,56.0,57.0
79,61.0,63.0,66.0,55.0,62.0,66.0,62.0,57.0,57.0
80,62.0,64.0,66.0,56.0,63.0,66.0,62.0,57.0,57.0
81,63.0,64.0,66.0,57.0,63.0,67.0,63.0,58.0,58.0
82,63.0,65.0,67.0,58.0,64.0,67.0,64.0,59.0,59.0
83,64.0,66.0,68.0,59.0,65.0,68.0,65.0,60.0,60.0
84,65.0,66.0,69.0,60.0,66.0,69.0,65.0,60.0,61.0
85,65.0,67.0,70.0,61.0,67.0,70.0,66.0,61.0,62.0
86,66.0,68.0,70.0,62.0,68.0,71.0,67.0,61.0,63.0
87,67.0,69.0,71.0,63.0,69.0,72.0,68.0,62.0,63.0
88,68.0,70.0,72.0,64.0,70.0,73.0,69.0,62.0,64.0
89,69.0,71.0,73.0,64.0,70.0,74.0,70.0,63.0,64.0
90,70.0,72.0,73.0,65.0,71.0,75.0,71.0,63.0,65.0
91,70.0,72.0,74.0,65.0,72.0,76.0,71.0,64.0,66.0
92,71.0,73.0,75.0,66.0,72.0,77.0,72.0,64.0,67.0
93,72.0,74.0,76.0,67.0,73.0,78.0,73.0,65.0,67.0
94,73.0,74.0,77.0,67.0,73.0,79.0,74.0,65.0,68.0
95,74.0,75.0,78.0,68.0,74.0,79.0,75.0,66.0,69.0
96,75.0,75.0,79.0,69.0,75.0,80.0,76.0,67.0,70.0
97,76.0,76.0,80.0,70.0,76.0,81.0,77.0,67.0,70.0
98,77.0,77.0,81.0,71.0,77.0,82.0,78.0,68.0,71.0
99,77.0,77.0,82.0,71.0,78.0,83.0,79.0,69.0,71.0
100,78.0,78.0,83.0,72.0,79.0,84.0,80.0,70.0,72.0
