,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0
5,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
6,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
7,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0
8,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
9,4.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0
10,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0
11,5.0,5.0,6.0,7.0,6.0,6.0,5.0,7.0
12,5.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
13,6.0,7.0,7.0,8.0,6.0,6.0,6.0,8.0
14,6.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0
15,6.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0
16,7.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0
17,7.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0
18,8.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0
19,8.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0
20,9.0,11.0,10.0,11.0,9.0,10.0,9.0,11.0
21,9.0,12.0,10.0,11.0,10.0,10.0,10.0,12.0
22,10.0,12.0,11.0,11.0,11.0,11.0,11.0,13.0
23,10.0,13.0,12.0,12.0,12.0,11.0,12.0,14.0
24,11.0,13.0,12.0,13.0,12.0,11.0,12.0,15.0
25,11.0,13.0,12.0,13.0,13.0,12.0,12.0,15.0
26,12.0,14.0,13.0,14.0,13.0,13.0,13.0,15.0
27,12.0,14.0,13.0,15.0,14.0,13.0,13.0,16.0
28,12.0,15.0,14.0,15.0,15.0,14.0,14.0,16.0
29,13.0,15.0,14.0,15.0,15.0,14.0,15.0,17.0
30,13.0,15.0,15.0,16.0,16.0,14.0,15.0,17.0
31,13.0,16.0,16.0,17.0,16.0,15.0,16.0,18.0
32,14.0,17.0,16.0,17.0,17.0,15.0,17.0,18.0
33,14.0,17.0,16.0,17.0,18.0,16.0,17.0,18.0
34,15.0,18.0,17.0,18.0,19.0,16.0,18.0,19.0
35,15.0,18.0,18.0,18.0,19.0,17.0,18.0,19.0
36,16.0,19.0,19.0,19.0,20.0,17.0,19.0,19.0
37,16.0,20.0,19.0,19.0,20.0,18.0,20.0,20.0
38,17.0,20.0,20.0,20.0,21.0,18.0,20.0,20.0
39,17.0,20.0,20.0,21.0,21.0,18.0,20.0,21.0
40,18.0,21.0,21.0,22.0,22.0,19.0,21.0,21.0
41,19.0,21.0,21.0,22.0,23.0,20.0,22.0,22.0
42,19.0,21.0,22.0,22.0,23.0,20.0,22.0,22.0
43,19.0,22.0,22.0,22.0,24.0,21.0,23.0,22.0
44,20.0,22.0,23.0,23.0,25.0,21.0,23.0,23.0
45,20.0,23.0,23.0,23.0,26.0,22.0,24.0,23.0
46,21.0,23.0,24.0,23.0,26.0,23.0,24.0,24.0
47,21.0,24.0,24.0,24.0,27.0,23.0,25.0,24.0
48,21.0,24.0,25.0,25.0,27.0,23.0,26.0,25.0
49,21.0,25.0,25.0,25.0,28.0,24.0,26.0,26.0
50,22.0,25.0,26.0,26.0,28.0,24.0,26.0,26.0
51,22.0,26.0,26.0,27.0,28.0,25.0,27.0,27.0
52,23.0,26.0,27.0,27.0,29.0,25.0,28.0,28.0
53,23.0,26.0,27.0,27.0,29.0,26.0,28.0,29.0
54,23.0,27.0,28.0,28.0,30.0,26.0,29.0,29.0
55,24.0,27.0,29.0,28.0,31.0,27.0,29.0,29.0
56,25.0,28.0,30.0,28.0,31.0,27.0,30.0,30.0
57,25.0,28.0,30.0,29.0,31.0,27.0,30.0,30.0
58,25.0,28.0,31.0,30.0,32.0,27.0,31.0,31.0
59,26.0,29.0,32.0,30.0,33.0,28.0,31.0,31.0
60,27.0,29.0,32.0,31.0,34.0,28.0,31.0,32.0
61,27.0,29.0,33.0,32.0,34.0,29.0,32.0,32.0
62,28.0,30.0,33.0,32.0,35.0,30.0,33.0,33.0
63,28.0,31.0,34.0,33.0,35.0,30.0,33.0,34.0
64,29.0,31.0,34.0,34.0,36.0,31.0,34.0,34.0
65,29.0,32.0,34.0,34.0,37.0,32.0,35.0,34.0
66,30.0,33.0,35.0,34.0,38.0,33.0,36.0,35.0
67,30.0,33.0,36.0,35.0,39.0,34.0,36.0,35.0
68,31.0,34.0,37.0,36.0,40.0,34.0,37.0,35.0
69,31.0,34.0,37.0,37.0,40.0,35.0,37.0,36.0
70,32.0,35.0,37.0,37.0,40.0,35.0,37.0,37.0
71,33.0,35.0,38.0,37.0,41.0,36.0,38.0,37.0
72,33.0,36.0,38.0,38.0,41.0,36.0,39.0,38.0
73,33.0,36.0,39.0,39.0,42.0,37.0,39.0,38.0
74,34.0,37.0,39.0,39.0,42.0,37.0,40.0,39.0
75,35.0,38.0,40.0,39.0,43.0,37.0,41.0,39.0
